	T_autotrophicus	B_thermophilus_symbiont	R_fausta	R_magnifica	R_pacifica	R_phaseoliformis	R_pliocardia	R_rectimargo	R_southwardae	V_diagonalis	V_extenta	V_gigas1	V_gigas2	V_marissinica	V_okutanii	V_soyoae1	V_soyoae2	Genome_Count	Gene	Function
OG0001102		MS2017_0740, MS2017_1307	HUE58_RS01330			Rpha_peg_549_pseudo, Rpha_peg_550	Rpli_peg_719_pseudo	Rrec_peg_59	Rsou_peg_2022_pseudo									6		Hypothetical protein
OG0001103		MS2017_0123, MS2017_0128, MS2017_0214, MS2017_0607_pseudo, MS2017_1420, MS2017_1530, MS2017_1775			Rpac_peg_1304_pseudo													2		Hypothetical protein
OG0001104		MS2017_0964_pseudo, MS2017_0966, MS2017_1061, MS2017_1607				Rpha_peg_1768_pseudo	Rpli_peg_579		Rsou_peg_293_pseudo, Rsou_peg_3_pseudo									4		Hypothetical protein
OG0001105		MS2017_1257		Rmag_0431_pseudo	Rpac_peg_1004	Rpha_peg_420	Rpli_peg_1327_pseudo, Rpli_peg_1328_pseudo		Rsou_peg_1979					Vmar_0400				7		Gfa-like protein
OG0001106		MS2017_1815	HUE58_RS00910_pseudo		Rpac_peg_442_pseudo	Rpha_peg_1753_pseudo, Rpha_peg_1754_pseudo	Rpli_peg_183_pseudo	Rrec_peg_147_pseudo	Rsou_peg_308_pseudo									7		Hypothetical protein
OG0001107		MS2017_1547	HUE58_RS04960_pseudo					Rrec_peg_555_pseudo, Rrec_peg_556_pseudo	Rsou_peg_1756_pseudo, Rsou_peg_1757_pseudo, Rsou_peg_1758_pseudo, Rsou_peg_1759_pseudo									4		Hypothetical protein
OG0001108	SP60_05380	MS2017_1823	HUE58_RS03840		Rpac_peg_1053	Rpha_peg_1609	Rpli_peg_37	Rrec_peg_954	Rsou_peg_1221									8		Transamidase GatB domain protein
OG0001109	SP60_07465	MS2017_0790	HUE58_RS02860		Rpac_peg_1268	Rpha_peg_100	Rpli_peg_562_pseudo	Rrec_peg_1308	Rsou_peg_757									8		Uncharacterized protein sll1880 (YjbQ family)
OG0001110	SP60_06090	MS2017_0476	HUE58_RS00110		Rpac_peg_259	Rpha_peg_2020	Rpli_peg_395	Rrec_peg_324	Rsou_peg_1161									8	recA	RecA protein
OG0001111	SP60_07470_pseudo	MS2017_0791			Rpac_peg_1269_pseudo	Rpha_peg_101_pseudo	Rpli_peg_563		Rsou_peg_758							Vsoy1_peg_580	Vsoy2_peg_779	8		Hypothetical protein
OG0001112	SP60_07030	MS2017_0713	HUE58_RS03285_pseudo		Rpac_peg_1176_pseudo	Rpha_peg_1297	Rpli_peg_464	Rrec_peg_1405_pseudo	Rsou_peg_862_pseudo									8		Hypothetical protein
OG0001113		MS2017_0481, MS2017_0721_pseudo, MS2017_1051	HUE58_RS03155_pseudo	Rmag_0402_pseudo				Rrec_peg_1377_pseudo	Rsou_peg_615_pseudo, Rsou_peg_833_pseudo									5		Putative DNA-binding protein in cluster with Type I restriction-modification system
OG0001114	SP60_04380	MS2017_2098	HUE58_RS06045_pseudo		Rpac_peg_146_pseudo	Rpha_peg_766_pseudo	Rpli_peg_1490	Rrec_peg_787_pseudo	Rsou_peg_572									8		Hypothetical protein
OG0001115		MS2017_2103	HUE58_RS06025_pseudo		Rpac_peg_152, Rpac_peg_153_pseudo	Rpha_peg_772_pseudo, Rpha_peg_773_pseudo, Rpha_peg_774_pseudo		Rrec_peg_779_pseudo										5		Hypothetical protein
OG0001116	SP60_00745	MS2017_1393	HUE58_RS01640		Rpac_peg_1408_pseudo	Rpha_peg_452	Rpli_peg_1650	Rrec_peg_1034	Rsou_peg_629									8		Hypothetical protein
OG0001117	SP60_01660	MS2017_1708	HUE58_RS04165		Rpac_peg_591	Rpha_peg_1518	Rpli_peg_790_pseudo	Rrec_peg_385	Rsou_peg_977									8		Hypothetical protein
OG0001118	SP60_00870, SP60_02050, SP60_02125, SP60_02445, SP60_03360, SP60_03505, SP60_04170	MS2017_1318																2		Mobile element protein
OG0001119	SP60_04275	MS2017_0088			Rpac_peg_171_pseudo, Rpac_peg_172_pseudo	Rpha_peg_796_pseudo	Rpli_peg_1517_pseudo		Rsou_peg_593_pseudo, Rsou_peg_594_pseudo									6		Hypothetical protein
OG0001120	SP60_01885	MS2017_1752	HUE58_RS04385		Rpac_peg_638	Rpha_peg_1470	Rpli_peg_839	Rrec_peg_430	Rsou_peg_45									8	xerD	Site-specific recombinase XerD
OG0001121	SP60_00375	MS2017_0842	HUE58_RS01995		Rpac_peg_943	Rpha_peg_319	Rpli_peg_1274	Rrec_peg_1115	Rsou_peg_1845									8	recR	Recombination protein RecR
OG0001122		MS2017_0326	HUE58_RS03340_pseudo			Rpha_peg_717	Rpli_peg_440_pseudo, Rpli_peg_441_pseudo	Rrec_peg_1420_pseudo	Rsou_peg_142_pseudo, Rsou_peg_143_pseudo									6		Rhodanese-like domain protein
OG0001123	SP60_00330	MS2017_0849	HUE58_RS02035		Rpac_peg_935	Rpha_peg_312	Rpli_peg_1267	Rrec_peg_1122	Rsou_peg_1852									8		Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)
OG0001124	SP60_02600	MS2017_0333	HUE58_RS04560	Rmag_0912		Rpha_peg_1422	Rpli_peg_889	Rrec_peg_475	Rsou_peg_252									8	clpS	ATP-dependent Clp protease adaptor protein ClpS
OG0001125	SP60_06925	MS2017_0674	HUE58_RS01945		Rpac_peg_954	Rpha_peg_356		Rrec_peg_1106	Rsou_peg_1361_pseudo, Rsou_peg_1362_pseudo									7		Hypothetical protein
OG0001126	SP60_04695	MS2017_1992	HUE58_RS06325_pseudo		Rpac_peg_74_pseudo	Rpha_peg_1911_pseudo	Rpli_peg_1430	Rrec_peg_845_pseudo	Rsou_peg_1535									8		Hypothetical protein
OG0001127	SP60_01680	MS2017_1681				Rpha_peg_1543_pseudo, Rpha_peg_1544_pseudo, Rpha_peg_1545_pseudo	Rpli_peg_768_pseudo, Rpli_peg_769_pseudo		Rsou_peg_998									5		Hypothetical protein
OG0001128	SP60_03145	MS2017_0219	HUE58_RS04860		Rpac_peg_746_pseudo	Rpha_peg_1336	Rpli_peg_976	Rrec_peg_535	Rsou_peg_1509									8		Hypothetical protein
OG0001129		MS2017_1564			Rpac_peg_1147_pseudo	Rpha_peg_673_pseudo, Rpha_peg_674_pseudo	Rpli_peg_222_pseudo, Rpli_peg_223_pseudo		Rsou_peg_182_pseudo, Rsou_peg_183_pseudo									5		CBS domain-containing membrane protein
OG0001130	SP60_05480	MS2017_1799	HUE58_RS00415		Rpac_peg_328_pseudo	Rpha_peg_2205	Rpli_peg_78	Rrec_peg_250	Rsou_peg_1008									8		Beta-lactamase related protein
OG0001131		MS2017_0536			Rpac_peg_289_pseudo	Rpha_peg_2065	Rpli_peg_361_pseudo	Rrec_peg_291, Rrec_peg_292	Rsou_peg_1116_pseudo, Rsou_peg_1117_pseudo									6		Putative sulfite oxidase subunit YedY
OG0001132	SP60_08150	MS2017_1088	HUE58_RS02340	Rmag_0521	Rpac_peg_1377	Rpha_peg_223		Rrec_peg_1192	Rsou_peg_91									8		ATP-dependent DNA helicase
OG0001133	SP60_08160	MS2017_1090			Rpac_peg_1379_pseudo, Rpac_peg_1380	Rpha_peg_224_pseudo, Rpha_peg_225_pseudo			Rsou_peg_89_pseudo, Rsou_peg_90_pseudo									5		Hypothetical protein
OG0001134	SP60_08165	MS2017_1091			Rpac_peg_1381_pseudo	Rpha_peg_226_pseudo, Rpha_peg_227_pseudo			Rsou_peg_86_pseudo, Rsou_peg_87_pseudo, Rsou_peg_88_pseudo									5		Hypothetical protein
OG0001135	SP60_04615	MS2017_2041			Rpac_peg_98_pseudo	Rpha_peg_2142_pseudo, Rpha_peg_2143_pseudo	Rpli_peg_1452_pseudo	Rrec_peg_823_pseudo	Rsou_peg_1673									7		Hypothetical protein
OG0001136	SP60_00430	MS2017_0898	HUE58_RS01890_pseudo			Rpha_peg_374	Rpli_peg_1289_pseudo	Rrec_peg_1089_pseudo	Rsou_peg_1385_pseudo, Rsou_peg_1387_pseudo									7		Permease of the drug/metabolite transporter (DMT) superfamily
OG0001137		MS2017_0415_pseudo, MS2017_1038_pseudo			Rpac_peg_410, Rpac_peg_411	Rpha_peg_1793_pseudo	Rpli_peg_155		Rsou_peg_271_pseudo, Rsou_peg_272_pseudo									5		Hypothetical protein
OG0001138		MS2017_0186	HUE58_RS01440			Rpha_peg_516	Rpli_peg_1612_pseudo, Rpli_peg_1613	Rrec_peg_984, Rrec_peg_985	Rsou_peg_1715									6		Hypothetical protein
OG0001139		MS2017_1499	HUE58_RS00700_pseudo		Rpac_peg_386_pseudo	Rpha_peg_26_pseudo	Rpli_peg_128_pseudo	Rrec_peg_192_pseudo, Rrec_peg_193_pseudo	Rsou_peg_1902_pseudo									7		Hypothetical protein
OG0001140	SP60_04450	MS2017_1966				Rpha_peg_1954_pseudo, Rpha_peg_1955	Rpli_peg_1387_pseudo, Rpli_peg_1388_pseudo, Rpli_peg_1389_pseudo		Rsou_peg_1732_pseudo									5		Na+/H+ antiporter NhaA type
OG0001141	SP60_06095	MS2017_0477_pseudo	HUE58_RS00115		Rpac_peg_260	Rpha_peg_2021	Rpli_peg_394	Rrec_peg_323	Rsou_peg_1160									8	recX	Regulatory protein RecX
OG0001142	SP60_06155_pseudo	MS2017_0493_pseudo	HUE58_RS00160		Rpac_peg_269	Rpha_peg_2034	Rpli_peg_380_pseudo	Rrec_peg_312	Rsou_peg_1144_pseudo									8		TRAP dicarboxylate transporter, DctQ subunit, unknown substrate 6
OG0001143			HUE58_RS06255			Rpha_peg_2154_pseudo, Rpha_peg_2157_pseudo	Rpli_peg_1441, Rpli_peg_1443	Rrec_peg_831	Rsou_peg_1682_pseudo, Rsou_peg_1683_pseudo									5		Fibronectin type III domain protein
OG0001144	SP60_06930		HUE58_RS01920_pseudo, HUE58_RS01925_pseudo		Rpac_peg_958	Rpha_peg_359		Rrec_peg_1101_pseudo, Rrec_peg_1102_pseudo	Rsou_peg_1366									6		Cytochrome c class I
OG0001145	SP60_05395		HUE58_RS03820	Rmag_0194_pseudo	Rpac_peg_1058_pseudo		Rpli_peg_29	Rrec_peg_961	Rsou_peg_1212_pseudo, Rsou_peg_1213_pseudo									7		Hypothetical protein
OG0001146	SP60_07590		HUE58_RS02785_pseudo		Rpac_peg_1283_pseudo		Rpli_peg_595_pseudo, Rpli_peg_596_pseudo, Rpli_peg_598_pseudo, Rpli_peg_602_pseudo	Rrec_peg_1291_pseudo										5		Hypothetical protein
OG0001147			HUE58_RS02815_pseudo		Rpac_peg_1277_pseudo	Rpha_peg_113_pseudo	Rpli_peg_572_pseudo, Rpli_peg_573_pseudo	Rrec_peg_1299_pseudo, Rrec_peg_1300_pseudo	Rsou_peg_769_pseudo									6		Hypothetical protein
OG0001148	SP60_05730		HUE58_RS00740	Rmag_0264	Rpac_peg_395	Rpha_peg_1878_pseudo	Rpli_peg_137	Rrec_peg_184	Rsou_peg_1894									8		Hypothetical protein
OG0001149	SP60_00845		HUE58_RS01540_pseudo		Rpac_peg_1433_pseudo	Rpha_peg_485_pseudo, Rpha_peg_486_pseudo, Rpha_peg_487_pseudo, Rpha_peg_488_pseudo		Rrec_peg_1009_pseudo										5		Hypothetical protein
OG0001150	SP60_01905		HUE58_RS02460	Rmag_0538	Rpac_peg_1356	Rpha_peg_189	Rpli_peg_1182_pseudo	Rrec_peg_1218	Rsou_peg_876_pseudo									8	aceA	Isocitrate lyase
OG0001151	SP60_05405		HUE58_RS03810	Rmag_0196	Rpac_peg_1061	Rpha_peg_1156	Rpli_peg_27	Rrec_peg_965	Rsou_peg_1210									8	msrB	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)
OG0001152			HUE58_RS04530_pseudo			Rpha_peg_1437_pseudo, Rpha_peg_1438_pseudo	Rpli_peg_870_pseudo, Rpli_peg_871_pseudo		Rsou_peg_451_pseudo			Vgig1_peg_834				Vsoy1_peg_852_pseudo		6		Hypothetical protein
OG0001153	SP60_06885		HUE58_RS01905_pseudo			Rpha_peg_366_pseudo, Rpha_peg_367_pseudo		Rrec_peg_1095_pseudo, Rrec_peg_1096_pseudo	Rsou_peg_1378_pseudo, Rsou_peg_1379_pseudo									5		Polyferredoxin NapH (periplasmic nitrate reductase)
OG0001154			HUE58_RS05075_pseudo, HUE58_RS06485_pseudo		Rpac_peg_43	Rpha_peg_1959_pseudo		Rrec_peg_580_pseudo, Rrec_peg_878_pseudo, Rrec_peg_879_pseudo	Rsou_peg_1735									5	mazF	Programmed cell death toxin MazF
OG0001155	SP60_05925		HUE58_RS00955_pseudo	Rmag_0300_pseudo	Rpac_peg_454_pseudo	Rpha_peg_1738_pseudo, Rpha_peg_1739_pseudo, Rpha_peg_1740_pseudo		Rrec_peg_137_pseudo										6		TRAP-type C4-dicarboxylate transport system, large permease component
OG0001156	SP60_05945				Rpac_peg_882_pseudo	Rpha_peg_977_pseudo, Rpha_peg_978_pseudo, Rpha_peg_979_pseudo, Rpha_peg_980_pseudo, Rpha_peg_981_pseudo, Rpha_peg_982_pseudo												3		Hypothetical protein
OG0001157					Rpac_peg_675	Rpha_peg_1430_pseudo, Rpha_peg_951_pseudo, Rpha_peg_953	Rpli_peg_882_pseudo		Rsou_peg_1610, Rsou_peg_258_pseudo, Rsou_peg_778									4		Hypothetical protein
OG0001158	SP60_02720_pseudo, SP60_02805_pseudo, SP60_02810_pseudo, SP60_02890_pseudo, SP60_02895_pseudo, SP60_04975_pseudo, SP60_04995_pseudo, SP60_07720_pseudo																	1		Hypothetical protein
OG0001159										Vdia_peg_668_pseudo	Vext_peg_657_pseudo	Vgig1_peg_620_pseudo	Vgig2_peg_508_pseudo	Vmar_0311_pseudo	COSY_0311_pseudo	Vsoy1_peg_335_pseudo	Vsoy2_peg_539_pseudo	8		Hypothetical protein
OG0001160										Vdia_peg_583	Vext_peg_571	Vgig1_peg_541	Vgig2_peg_426	Vmar_0393	COSY_0395	Vsoy1_peg_421	Vsoy2_peg_620	8		Hypothetical protein
OG0001161	SP60_06985	MS2017_0701			Rpac_peg_1168_pseudo	Rpha_peg_724	Rpli_peg_450		Rsou_peg_133, Rsou_peg_790									6		Aldehyde dehydrogenase (EC 1.2.1.3)
OG0001162		MS2017_0741, MS2017_1308				Rpha_peg_553_pseudo, Rpha_peg_554	Rpli_peg_714		Rsou_peg_2024_pseudo, Rsou_peg_2025_pseudo									4		Hypothetical protein
OG0001163	SP60_00395	MS2017_1144	HUE58_RS01985_pseudo	Rmag_0465_pseudo		Rpha_peg_322_pseudo	Rpli_peg_1276_pseudo		Rsou_peg_1841									7		Hypothetical protein
OG0001164		MS2017_1813			Rpac_peg_438_pseudo, Rpac_peg_439_pseudo	Rpha_peg_1759	Rpli_peg_180_pseudo	Rrec_peg_149_pseudo	Rsou_peg_300_pseudo									6		Hypothetical protein
OG0001165		MS2017_1500	HUE58_RS00695	Rmag_0256	Rpac_peg_385	Rpha_peg_27		Rrec_peg_194	Rsou_peg_1903									7	lapC	Type I secretion system, membrane fusion protein LapC
OG0001166		MS2017_1501	HUE58_RS00690	Rmag_0255	Rpac_peg_384	Rpha_peg_28		Rrec_peg_195	Rsou_peg_1904									7	lapB	Type I secretion system ATPase, LssB family LapB
OG0001167		MS2017_1502	HUE58_RS00680	Rmag_0253	Rpac_peg_383	Rpha_peg_32		Rrec_peg_198	Rsou_peg_1907									7	lapE	Type I secretion system, outer membrane component LapE
OG0001168		MS2017_1503_pseudo		Rmag_0252	Rpac_peg_382_pseudo	Rpha_peg_34_pseudo			Rsou_peg_1910_pseudo, Rsou_peg_1911_pseudo, Rsou_peg_1912_pseudo									5		Hypothetical protein
OG0001169	SP60_05390	MS2017_1820			Rpac_peg_1057		Rpli_peg_30_pseudo, Rpli_peg_31_pseudo	Rrec_peg_960_pseudo	Rsou_peg_1214									6		Protein of unknown function DUF81
OG0001170	SP60_00380	MS2017_0841	HUE58_RS04935	Rmag_0978		Rpha_peg_1321	Rpli_peg_988	Rrec_peg_549										7		Glyoxalase/bleomycin resistance protein/dioxygenase
OG0001171		MS2017_0325	HUE58_RS04115		Rpac_peg_584_pseudo	Rpha_peg_1531_pseudo	Rpli_peg_778	Rrec_peg_375	Rsou_peg_988									7		Hypothetical protein
OG0001172	SP60_06115	MS2017_0485				Rpha_peg_2026	Rpli_peg_390	Rrec_peg_319_pseudo	Rsou_peg_1155_pseudo, Rsou_peg_1156_pseudo									6		Hypothetical protein
OG0001173	SP60_07525	MS2017_0798				Rpha_peg_110_pseudo	Rpli_peg_570_pseudo	Rrec_peg_1302	Rsou_peg_765_pseudo, Rsou_peg_766_pseudo									6		Methyltransferase-related protein
OG0001174	SP60_01595	MS2017_1677				Rpha_peg_1550	Rpli_peg_763_pseudo, Rpli_peg_764_pseudo		Rsou_peg_1002_pseudo, Rsou_peg_1556									5		Thioredoxin family protein
OG0001175	SP60_07295	MS2017_0927			Rpac_peg_1236_pseudo	Rpha_peg_62	Rpli_peg_525_pseudo	Rrec_peg_1340_pseudo	Rsou_peg_716									7		Hypothetical protein
OG0001176		MS2017_1330			Rpac_peg_1195_pseudo, Rpac_peg_1196_pseudo	Rpha_peg_2090_pseudo		Rrec_peg_1378, Rrec_peg_1379_pseudo	Rsou_peg_839_pseudo									5	hsdM	Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)
OG0001177		MS2017_1121				Rpha_peg_1265_pseudo, Rpha_peg_1266_pseudo	Rpli_peg_1536, Rpli_peg_1537		Rsou_peg_499_pseudo, Rsou_peg_500_pseudo									4		Hypothetical protein
OG0001178	SP60_04025	MS2017_0003				Rpha_peg_1021	Rpli_peg_1591_pseudo, Rpli_peg_1592_pseudo		Rsou_peg_1462_pseudo, Rsou_peg_1463_pseudo									5	recF	DNA recombination and repair protein RecF
OG0001179		MS2017_2151				Rpha_peg_890_pseudo, Rpha_peg_891_pseudo	Rpli_peg_1082		Rsou_peg_1579, Rsou_peg_1622_pseudo, Rsou_peg_1623_pseudo									4		DNA adenine methylase
OG0001180	SP60_04665	MS2017_2003	HUE58_RS06295		Rpac_peg_83_pseudo	Rpha_peg_2164		Rrec_peg_838	Rsou_peg_1549									7		Hypothetical protein
OG0001181	SP60_03035	MS2017_0255	HUE58_RS04755_pseudo		Rpac_peg_717_pseudo	Rpha_peg_1366_pseudo	Rpli_peg_942		Rsou_peg_1481									7		Hypothetical protein
OG0001182	SP60_05575	MS2017_0342	HUE58_RS00505_pseudo			Rpha_peg_2173_pseudo		Rrec_peg_233_pseudo	Rsou_peg_1030, Rsou_peg_1034_pseudo									6		Hypothetical protein
OG0001183		MS2017_0727		Rmag_0393_pseudo		Rpha_peg_2093_pseudo			Rsou_peg_1942_pseudo, Rsou_peg_1982, Rsou_peg_1985_pseudo, Rsou_peg_1986_pseudo									4		DNA-damage-inducible protein d
OG0001184	SP60_00435_pseudo	MS2017_0897_pseudo	HUE58_RS01880_pseudo	Rmag_0459_pseudo		Rpha_peg_380_pseudo	Rpli_peg_1291_pseudo		Rsou_peg_1389_pseudo									7		Type III effector HopPmaJ
OG0001185	SP60_01640	MS2017_1687	HUE58_RS04145			Rpha_peg_1526	Rpli_peg_784	Rrec_peg_381	Rsou_peg_982									7		Hypothetical protein
OG0001186	SP60_00580	MS2017_1252	HUE58_RS01740		Rpac_peg_1001	Rpha_peg_415		Rrec_peg_1058	Rsou_peg_1425									7		Hypothetical protein
OG0001187	SP60_05140	MS2017_1875	HUE58_RS06630_pseudo			Rpha_peg_1978	Rpli_peg_1360_pseudo	Rrec_peg_907_pseudo	Rsou_peg_952									7		Hypothetical protein
OG0001188	SP60_07985	MS2017_1035_pseudo	HUE58_RS02495			Rpha_peg_179_pseudo, Rpha_peg_180_pseudo		Rrec_peg_1225_pseudo	Rsou_peg_886									6		Hypothetical protein
OG0001189	SP60_04770	MS2017_1964_pseudo				Rpha_peg_1926	Rpli_peg_1415	Rrec_peg_861_pseudo, Rrec_peg_862	Rsou_peg_1519									6		Hypothetical protein
OG0001190	SP60_05600		HUE58_RS00560_pseudo			Rpha_peg_1114	Rpli_peg_104	Rrec_peg_221, Rrec_peg_222_pseudo	Rsou_peg_1046									6		Cytochrome c5
OG0001191	SP60_08045		HUE58_RS02395		Rpac_peg_1369_pseudo, Rpac_peg_1370_pseudo	Rpha_peg_204		Rrec_peg_1205	Rsou_peg_111									6		Hypothetical protein
OG0001192			HUE58_RS04225_pseudo		Rpac_peg_606_pseudo	Rpha_peg_1501_pseudo	Rpli_peg_806_pseudo	Rrec_peg_398_pseudo	Rsou_peg_10_pseudo, Rsou_peg_11_pseudo									6		Peptide synthetase
OG0001193	SP60_00095		HUE58_RS02265_pseudo		Rpac_peg_1401_pseudo	Rpha_peg_257_pseudo		Rrec_peg_1176, Rrec_peg_1177	Rsou_peg_1823									6		Hypothetical protein
OG0001194	SP60_05965		HUE58_RS04015_pseudo		Rpac_peg_561_pseudo	Rpha_peg_1577_pseudo	Rpli_peg_743	Rrec_peg_345_pseudo	Rsou_peg_1801									7		Hypothetical protein
OG0001195	SP60_02345, SP60_02530, SP60_02545, SP60_02550, SP60_02560			Rmag_0902					Rsou_peg_456									3		NAD-dependent epimerase/dehydratase
OG0001196	SP60_07120			Rmag_0655		Rpha_peg_1185_pseudo, Rpha_peg_1186_pseudo	Rpli_peg_480_pseudo, Rpli_peg_482_pseudo		Rsou_peg_847									5		Hypothetical protein
OG0001197				Rmag_0948	Rpac_peg_718_pseudo	Rpha_peg_1365	Rpli_peg_944_pseudo, Rpli_peg_945_pseudo		Rsou_peg_1482_pseudo, Rsou_peg_1483_pseudo									5		Fructosamine kinase
OG0001198				Rmag_0154_pseudo	Rpac_peg_11, Rpac_peg_1410	Rpha_peg_1984, Rpha_peg_458_pseudo	Rpli_peg_1355_pseudo		Rsou_peg_957									5		Hypothetical protein
OG0001199				Rmag_0231_pseudo		Rpha_peg_1121_pseudo, Rpha_peg_1122_pseudo, Rpha_peg_1123_pseudo	Rpli_peg_98_pseudo, Rpli_peg_99_pseudo		Rsou_peg_1036_pseudo									4		Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)
OG0001200				Rmag_0823_pseudo		Rpha_peg_1569_pseudo, Rpha_peg_1570_pseudo	Rpli_peg_752_pseudo, Rpli_peg_753_pseudo, Rpli_peg_754_pseudo		Rsou_peg_1264_pseudo									4		Anaerobic dimethyl sulfoxide reductase chain A (EC 1.8.99.-)
OG0001201	SP60_01800			Rmag_0857_pseudo	Rpac_peg_621_pseudo	Rpha_peg_1488	Rpli_peg_821_pseudo		Rsou_peg_26_pseudo, Rsou_peg_27_pseudo									6		N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)
OG0001202	SP60_04520				Rpac_peg_123	Rpha_peg_751_pseudo	Rpli_peg_1474_pseudo, Rpli_peg_1475_pseudo	Rrec_peg_801_pseudo	Rsou_peg_1651									6		Hypothetical protein
OG0001203						Rpha_peg_1043, Rpha_peg_1044_pseudo, Rpha_peg_1369	Rpli_peg_1574, Rpli_peg_939_pseudo		Rsou_peg_1784_pseudo, Rsou_peg_945									3		Hypothetical protein
OG0001204	SP60_07975	MS2017_0271			Rpac_peg_1345_pseudo	Rpha_peg_177_pseudo	Rpli_peg_1179		Rsou_peg_888_pseudo									6		Hypothetical protein
OG0001205	SP60_03010	MS2017_0273		Rmag_0939		Rpha_peg_1388_pseudo	Rpli_peg_922		Rsou_peg_1285									6		Alkyl hydroperoxide reductase and/or thiol-specific antioxidant family (AhpC/TSA) protein
OG0001206	SP60_05210	MS2017_1857		Rmag_0159		Rpha_peg_1992	Rpli_peg_1343		Rsou_peg_1963									6		Protein tyrosine phosphatase
OG0001207	SP60_00855	MS2017_1428				Rpha_peg_490_pseudo, Rpha_peg_491_pseudo, Rpha_peg_492_pseudo	Rpli_peg_1633_pseudo											4	actP	Acetate permease ActP (cation/acetate symporter)
OG0001208	SP60_07195	MS2017_1152		Rmag_0638_pseudo	Rpac_peg_1213_pseudo	Rpha_peg_1168_pseudo			Rsou_peg_814									6		Hypothetical protein
OG0001209		MS2017_1606, MS2017_1707			Rpac_peg_967_pseudo	Rpha_peg_376_pseudo, Rpha_peg_378_pseudo		Rrec_peg_1087_pseudo										4		Hypothetical protein
OG0001210		MS2017_1360				Rpha_peg_2045	Rpli_peg_373	Rrec_peg_307	Rsou_peg_1136, Rsou_peg_1138									5		Hypothetical protein
OG0001211	SP60_01090	MS2017_1471		Rmag_0377_pseudo		Rpha_peg_533_pseudo	Rpli_peg_729_pseudo		Rsou_peg_2013_pseudo									6	rluE	Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)
OG0001212	SP60_01095	MS2017_1472				Rpha_peg_534_pseudo, Rpha_peg_535_pseudo	Rpli_peg_728_pseudo		Rsou_peg_2014									5		Hypothetical protein
OG0001213	SP60_01105_pseudo	MS2017_1475_pseudo				Rpha_peg_538_pseudo, Rpha_peg_540_pseudo	Rpli_peg_726_pseudo		Rsou_peg_2016_pseudo									5		Hypothetical protein
OG0001214	SP60_07520	MS2017_0797			Rpac_peg_1275_pseudo	Rpha_peg_108_pseudo	Rpli_peg_569		Rsou_peg_764									6		Hypothetical protein
OG0001215	SP60_08105	MS2017_1045	HUE58_RS02375_pseudo			Rpha_peg_208		Rrec_peg_1199_pseudo	Rsou_peg_107									6		Selenide, water dikinase (EC 2.7.9.3)
OG0001216	SP60_08110	MS2017_1046			Rpac_peg_1372_pseudo	Rpha_peg_209	Rpli_peg_1196_pseudo		Rsou_peg_106									6		Selenophosphate-dependent tRNA 2-selenouridine synthase
OG0001217		MS2017_1916	HUE58_RS04390_pseudo, HUE58_RS04395_pseudo		Rpac_peg_639_pseudo		Rpli_peg_840_pseudo	Rrec_peg_432_pseudo										5		Hypothetical protein
OG0001218	SP60_03385	MS2017_1408			Rpac_peg_179_pseudo	Rpha_peg_806_pseudo, Rpha_peg_808_pseudo			Rsou_peg_78_pseudo									5		Hypothetical protein
OG0001219	SP60_03135	MS2017_0221		Rmag_0968		Rpha_peg_1338	Rpli_peg_974		Rsou_peg_1507									6		DNA-binding protein Fis
OG0001220	SP60_05100	MS2017_1920			Rpac_peg_27	Rpha_peg_1967		Rrec_peg_900_pseudo	Rsou_peg_943									6		Diadenosine tetraphosphate (Ap4A) hydrolase
OG0001221	SP60_01250	MS2017_1527		Rmag_0346		Rpha_peg_1653	Rpli_peg_675		Rsou_peg_1298									6		Hypothetical protein
OG0001222	SP60_05460	MS2017_1802		Rmag_0209		Rpha_peg_2210_pseudo	Rpli_peg_73		Rsou_peg_1003									6		Ribosomal RNA small subunit methyltransferase B
OG0001223		MS2017_0537	HUE58_RS00235_pseudo	Rmag_0779_pseudo		Rpha_peg_2066		Rrec_peg_290_pseudo	Rsou_peg_1114_pseudo									6		Sulfoxide reductase heme-binding subunit YedZ
OG0001224		MS2017_0340				Rpha_peg_1426_pseudo, Rpha_peg_1427_pseudo	Rpli_peg_883_pseudo, Rpli_peg_884_pseudo		Rsou_peg_255									4		Hypothetical protein
OG0001225	SP60_08170	MS2017_1092				Rpha_peg_228_pseudo, Rpha_peg_229_pseudo			Rsou_peg_84_pseudo, Rsou_peg_85_pseudo									4		Hypothetical protein
OG0001226	SP60_00425	MS2017_0899			Rpac_peg_950_pseudo, Rpac_peg_951_pseudo	Rpha_peg_326_pseudo			Rsou_peg_1837_pseudo									5		FIG002776: hypothetical protein
OG0001227	SP60_06225		HUE58_RS00215			Rpha_peg_2057	Rpli_peg_365	Rrec_peg_298	Rsou_peg_1125									6		Pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96)
