	SUP05	Bathy	R.magnifica	R.fausta	R.pacifica	R.phaseoliformis	R.pliocardia	R.rectimargo	R.southwardae	V.diagonalis	V.extenta	V.soyoae1	V.soyoae2	V.gigas1	V.gigas2	V.okutanii	V.marissinica
248	SP60_01855	MS2017_1746	Rmag_0867	HUE58_RS04355	Rpac_peg_632	Rpha_peg_1477	Rpli_peg_832	Rrec_peg_424	Rsou_peg_38	Vdia_peg_164	Vext_peg_159	Vsoy1_peg_830	Vsoy2_peg_47	Vgig1_peg_811	Vgig2_peg_700	COSY_0792	Vmar_0802
249	SP60_01860	MS2017_1747	Rmag_0868	HUE58_RS04360	Rpac_peg_633	Rpha_peg_1476	Rpli_peg_833	Rrec_peg_425	Rsou_peg_39	Vdia_peg_163	Vext_peg_158	Vsoy1_peg_831	Vsoy2_peg_48	Vgig1_peg_812	Vgig2_peg_701	COSY_0793	Vmar_0803
250	SP60_01865	MS2017_1748	Rmag_0869	HUE58_RS04365	Rpac_peg_634	Rpha_peg_1475	Rpli_peg_834	Rrec_peg_426	Rsou_peg_40	Vdia_peg_162	Vext_peg_157	Vsoy1_peg_832	Vsoy2_peg_49	Vgig1_peg_813	Vgig2_peg_702	COSY_0794	Vmar_0804
251	SP60_01870	MS2017_1749	Rmag_0870	HUE58_RS04370	Rpac_peg_635	Rpha_peg_1474	Rpli_peg_835	Rrec_peg_427	Rsou_peg_41	Vdia_peg_161	Vext_peg_156	Vsoy1_peg_833	Vsoy2_peg_50	Vgig1_peg_814	Vgig2_peg_703	COSY_0795	Vmar_0805
252	SP60_01875	MS2017_1750	Rmag_0871	HUE58_RS04375	Rpac_peg_636	Rpha_peg_1472	Rpli_peg_837	Rrec_peg_428	Rsou_peg_43	Vdia_peg_160	Vext_peg_155	Vsoy1_peg_834	Vsoy2_peg_51	Vgig1_peg_815	Vgig2_peg_704	COSY_0796	Vmar_0806
253	SP60_01880	MS2017_1751	Rmag_0872	HUE58_RS04380	Rpac_peg_637	Rpha_peg_1471	Rpli_peg_838	Rrec_peg_429	Rsou_peg_44	Vdia_peg_159	Vext_peg_154	Vsoy1_peg_835	Vsoy2_peg_52	Vgig1_peg_816	Vgig2_peg_705	COSY_0797	Vmar_0807
255	SP60_01915	MS2017_1753	Rmag_0874	HUE58_RS04400	Rpac_peg_641	Rpha_peg_1464	Rpli_peg_843	Rrec_peg_434	Rsou_peg_48	Vdia_peg_157	Vext_peg_152	Vsoy1_peg_836	Vsoy2_peg_53	Vgig1_peg_818	Vgig2_peg_706	COSY_0798	Vmar_0808
256	SP60_01920	MS2017_1754	Rmag_0875	HUE58_RS04405	Rpac_peg_642	Rpha_peg_1463	Rpli_peg_844	Rrec_peg_435	Rsou_peg_49	Vdia_peg_156	Vext_peg_151	Vsoy1_peg_837	Vsoy2_peg_54	Vgig1_peg_819	Vgig2_peg_707	COSY_0799	Vmar_0809
257	SP60_01925	MS2017_1755	Rmag_0876	HUE58_RS04410	Rpac_peg_643	Rpha_peg_1462	Rpli_peg_845	Rrec_peg_436	Rsou_peg_50	Vdia_peg_155	Vext_peg_150	Vsoy1_peg_838	Vsoy2_peg_55	Vgig1_peg_820	Vgig2_peg_708	COSY_0800	Vmar_0810
258	SP60_01930	MS2017_1756	Rmag_0877	HUE58_RS04415	Rpac_peg_644	Rpha_peg_1461	Rpli_peg_846	Rrec_peg_437	Rsou_peg_51	Vdia_peg_154	Vext_peg_149	Vsoy1_peg_839	Vsoy2_peg_56	Vgig1_peg_821	Vgig2_peg_709	COSY_0801	Vmar_0811
259	SP60_01935	MS2017_1757	Rmag_0878	HUE58_RS04420	Rpac_peg_645	Rpha_peg_1460	Rpli_peg_847	Rrec_peg_438	Rsou_peg_52	Vdia_peg_153	Vext_peg_148	Vsoy1_peg_840	Vsoy2_peg_57	Vgig1_peg_822	Vgig2_peg_710	COSY_0802	Vmar_0812
260	SP60_01940	MS2017_1758	Rmag_0879	HUE58_RS04425	Rpac_peg_646	Rpha_peg_1459	Rpli_peg_848	Rrec_peg_439	Rsou_peg_53	Vdia_peg_152	Vext_peg_147	Vsoy1_peg_841	Vsoy2_peg_58	Vgig1_peg_823	Vgig2_peg_711	COSY_0803	Vmar_0813
261	SP60_01945	MS2017_1762	Rmag_0880	HUE58_RS04460	Rpac_peg_654	Rpha_peg_1452	Rpli_peg_857	Rrec_peg_450	Rsou_peg_63	Vdia_peg_151	Vext_peg_146	Vsoy1_peg_843	Vsoy2_peg_60	Vgig1_peg_825	Vgig2_peg_713	COSY_0804	Vmar_0814
263	SP60_01955	MS2017_1764	Rmag_0881	HUE58_RS04485	Rpac_peg_657	Rpha_peg_1450	Rpli_peg_859	Rrec_peg_455	Rsou_peg_66	Vdia_peg_150	Vext_peg_145	Vsoy1_peg_844	Vsoy2_peg_61	Vgig1_peg_826	Vgig2_peg_714	COSY_0805	Vmar_0815
264	SP60_01960	MS2017_1765	Rmag_0882	HUE58_RS04490	Rpac_peg_658	Rpha_peg_1449	Rpli_peg_860	Rrec_peg_456	Rsou_peg_67	Vdia_peg_149	Vext_peg_144	Vsoy1_peg_845	Vsoy2_peg_62	Vgig1_peg_827	Vgig2_peg_715	COSY_0806	Vmar_0816
267	SP60_01980	MS2017_1768	Rmag_0883	HUE58_RS04505	Rpac_peg_663	Rpha_peg_1445	Rpli_peg_863	Rrec_peg_459	Rsou_peg_1988	Vdia_peg_146	Vext_peg_141	Vsoy1_peg_848	Vsoy2_peg_65	Vgig1_peg_830	Vgig2_peg_718	COSY_0809	Vmar_0819
268	SP60_01985	MS2017_1771	Rmag_0885	HUE58_RS04515	Rpac_peg_665	Rpha_peg_1443	Rpli_peg_865	Rrec_peg_461	Rsou_peg_1990	Vdia_peg_144	Vext_peg_139	Vsoy1_peg_850	Vsoy2_peg_67	Vgig1_peg_832	Vgig2_peg_720	COSY_0811	Vmar_0821
269	SP60_01990	MS2017_1772	Rmag_0884	HUE58_RS04510	Rpac_peg_664	Rpha_peg_1444	Rpli_peg_864	Rrec_peg_460	Rsou_peg_1989	Vdia_peg_145	Vext_peg_140	Vsoy1_peg_849	Vsoy2_peg_66	Vgig1_peg_831	Vgig2_peg_719	COSY_0810	Vmar_0820
274	SP60_02590	MS2017_0339	Rmag_0910	HUE58_RS04550	Rpac_peg_676	Rpha_peg_1424	Rpli_peg_887	Rrec_peg_473	Rsou_peg_254	Vdia_peg_138	Vext_peg_133	Vsoy1_peg_857	Vsoy2_peg_73	Vgig1_peg_839	Vgig2_peg_726	COSY_0817	Vmar_0827
275	SP60_02595	MS2017_0338	Rmag_0911	HUE58_RS04555	Rpac_peg_677	Rpha_peg_1423	Rpli_peg_888	Rrec_peg_474	Rsou_peg_253	Vdia_peg_137	Vext_peg_132	Vsoy1_peg_858	Vsoy2_peg_74	Vgig1_peg_840	Vgig2_peg_727	COSY_0818	Vmar_0828
276	SP60_02610	MS2017_0332	Rmag_0914	HUE58_RS04570	Rpac_peg_679	Rpha_peg_1420	Rpli_peg_891	Rrec_peg_477	Rsou_peg_250	Vdia_peg_135	Vext_peg_130	Vsoy1_peg_860	Vsoy2_peg_76	Vgig1_peg_842	Vgig2_peg_729	COSY_0820	Vmar_0830
277	SP60_02615	MS2017_0331	Rmag_0915	HUE58_RS04575	Rpac_peg_680	Rpha_peg_1419	Rpli_peg_892	Rrec_peg_478	Rsou_peg_249	Vdia_peg_134	Vext_peg_129	Vsoy1_peg_861	Vsoy2_peg_77	Vgig1_peg_843	Vgig2_peg_730	COSY_0821	Vmar_0831
278	SP60_02625	MS2017_0322	Rmag_0916	HUE58_RS04580	Rpac_peg_681	Rpha_peg_1418	Rpli_peg_893	Rrec_peg_479	Rsou_peg_247	Vdia_peg_133	Vext_peg_128	Vsoy1_peg_862	Vsoy2_peg_78	Vgig1_peg_844	Vgig2_peg_731	COSY_0822	Vmar_0832
279	SP60_02630	MS2017_0321	Rmag_0917	HUE58_RS04585	Rpac_peg_682	Rpha_peg_1417	Rpli_peg_894	Rrec_peg_480	Rsou_peg_246	Vdia_peg_132	Vext_peg_127	Vsoy1_peg_863	Vsoy2_peg_79	Vgig1_peg_845	Vgig2_peg_732	COSY_0823	Vmar_0833
280	SP60_02635	MS2017_0320	Rmag_0918	HUE58_RS04590	Rpac_peg_683	Rpha_peg_1416	Rpli_peg_895	Rrec_peg_481	Rsou_peg_245	Vdia_peg_131	Vext_peg_126	Vsoy1_peg_864	Vsoy2_peg_80	Vgig1_peg_846	Vgig2_peg_733	COSY_0824	Vmar_0834
281	SP60_02640	MS2017_0319	Rmag_0919	HUE58_RS04595	Rpac_peg_684	Rpha_peg_1415	Rpli_peg_896	Rrec_peg_482	Rsou_peg_244	Vdia_peg_130	Vext_peg_125	Vsoy1_peg_865	Vsoy2_peg_81	Vgig1_peg_847	Vgig2_peg_734	COSY_0825	Vmar_0835
283	SP60_02655	MS2017_0316	Rmag_0922	HUE58_RS04610	Rpac_peg_687	Rpha_peg_1412	Rpli_peg_899	Rrec_peg_484	Rsou_peg_241	Vdia_peg_127	Vext_peg_122	Vsoy1_peg_868	Vsoy2_peg_84	Vgig1_peg_850	Vgig2_peg_737	COSY_0828	Vmar_0838
284	SP60_02660	MS2017_0315	Rmag_0923	HUE58_RS04615	Rpac_peg_688	Rpha_peg_1411	Rpli_peg_900	Rrec_peg_485	Rsou_peg_240	Vdia_peg_126	Vext_peg_121	Vsoy1_peg_869	Vsoy2_peg_85	Vgig1_peg_851	Vgig2_peg_738	COSY_0829	Vmar_0839
285	SP60_02665	MS2017_0314	Rmag_0924	HUE58_RS04620	Rpac_peg_689	Rpha_peg_1410	Rpli_peg_901	Rrec_peg_486	Rsou_peg_239	Vdia_peg_125	Vext_peg_120	Vsoy1_peg_870	Vsoy2_peg_86	Vgig1_peg_852	Vgig2_peg_739	COSY_0830	Vmar_0840
286	SP60_02670	MS2017_0312	Rmag_0925	HUE58_RS04625	Rpac_peg_690	Rpha_peg_1409	Rpli_peg_902	Rrec_peg_487	Rsou_peg_238	Vdia_peg_124	Vext_peg_119	Vsoy1_peg_871	Vsoy2_peg_87	Vgig1_peg_853	Vgig2_peg_740	COSY_0831	Vmar_0841
287	SP60_02675	MS2017_0311	Rmag_0926	HUE58_RS04630	Rpac_peg_691	Rpha_peg_1408	Rpli_peg_903	Rrec_peg_488	Rsou_peg_237	Vdia_peg_123	Vext_peg_118	Vsoy1_peg_872	Vsoy2_peg_88	Vgig1_peg_854	Vgig2_peg_741	COSY_0832	Vmar_0842
288	SP60_02680	MS2017_R008	Rmag_R0034	HUE58_RS04635	Rpac_rna_21	Rpha_rna_23	Rpli_rna_18	Rrec_rna_11	Rsou_rna_2	Vdia_rna_6	Vext_rna_7	Vsoy1_rna_32	Vsoy2_rna_6	Vgig1_rna_32	Vgig2_rna_28	COSY_R0031	Vmar_R0032
289	SP60_02940	MS2017_0288	Rmag_0927	HUE58_RS04640	Rpac_peg_692	Rpha_peg_1407	Rpli_peg_904	Rrec_peg_489	Rsou_peg_1269	Vdia_peg_122	Vext_peg_117	Vsoy1_peg_873	Vsoy2_peg_89	Vgig1_peg_855	Vgig2_peg_742	COSY_0834	Vmar_0843
290	SP60_02945	MS2017_0287	Rmag_0928	HUE58_RS04645	Rpac_peg_693	Rpha_peg_1406	Rpli_peg_905	Rrec_peg_490	Rsou_peg_1270	Vdia_peg_121	Vext_peg_116	Vsoy1_peg_874	Vsoy2_peg_90	Vgig1_peg_856	Vgig2_peg_743	COSY_0835	Vmar_0844
291	SP60_02950	MS2017_0286	Rmag_0929	HUE58_RS04650	Rpac_peg_694	Rpha_peg_1405	Rpli_peg_906	Rrec_peg_491	Rsou_peg_1271	Vdia_peg_120	Vext_peg_115	Vsoy1_peg_875	Vsoy2_peg_91	Vgig1_peg_857	Vgig2_peg_744	COSY_0836	Vmar_0845
294	SP60_02965	MS2017_0282	Rmag_0932	HUE58_RS04665	Rpac_peg_697	Rpha_peg_1402	Rpli_peg_909	Rrec_peg_494	Rsou_peg_1274	Vdia_peg_118	Vext_peg_113	Vsoy1_peg_877	Vsoy2_peg_93	Vgig1_peg_859	Vgig2_peg_746	COSY_0838	Vmar_0847
296	SP60_02975	MS2017_0280	Rmag_0934	HUE58_RS04675	Rpac_peg_699	Rpha_peg_1400	Rpli_peg_911	Rrec_peg_496	Rsou_peg_1277	Vdia_peg_116	Vext_peg_111	Vsoy1_peg_879	Vsoy2_peg_95	Vgig1_peg_861	Vgig2_peg_748	COSY_0840	Vmar_0849
299	SP60_02990	MS2017_0277	Rmag_0935	HUE58_RS04690	Rpac_peg_701	Rpha_peg_1395	Rpli_peg_916	Rrec_peg_498	Rsou_peg_1280	Vdia_peg_114	Vext_peg_109	Vsoy1_peg_881	Vsoy2_peg_97	Vgig1_peg_863	Vgig2_peg_750	COSY_0842	Vmar_0851
300	SP60_02995	MS2017_0276	Rmag_0936	HUE58_RS04695	Rpac_peg_702	Rpha_peg_1394	Rpli_peg_917	Rrec_peg_499	Rsou_peg_1281	Vdia_peg_113	Vext_peg_108	Vsoy1_peg_882	Vsoy2_peg_98	Vgig1_peg_864	Vgig2_peg_751	COSY_0843	Vmar_0852
303	SP60_03015	MS2017_0263	Rmag_0942	HUE58_RS04715	Rpac_peg_709	Rpha_peg_1382	Rpli_peg_929	Rrec_peg_504	Rsou_peg_1471	Vdia_peg_111	Vext_peg_107	Vsoy1_peg_883	Vsoy2_peg_99	Vgig1_peg_889	Vgig2_peg_776	COSY_0844	Vmar_0853
304	SP60_03020	MS2017_0261	Rmag_0944	HUE58_RS04725	Rpac_peg_713	Rpha_peg_1380	Rpli_peg_933	Rrec_peg_507	Rsou_peg_1473	Vdia_peg_110	Vext_peg_106	Vsoy1_peg_884	Vsoy2_peg_100	Vgig1_peg_888	Vgig2_peg_775	COSY_0845	Vmar_0854
305	SP60_03025	MS2017_0257	Rmag_0946	HUE58_RS04745	Rpac_peg_715	Rpha_peg_1368	Rpli_peg_940	Rrec_peg_510	Rsou_peg_1478	Vdia_peg_109	Vext_peg_105	Vsoy1_peg_886	Vsoy2_peg_102	Vgig1_peg_887	Vgig2_peg_774	COSY_0846	Vmar_0856
306	SP60_03030	MS2017_0256	Rmag_0947	HUE58_RS04750	Rpac_peg_716	Rpha_peg_1367	Rpli_peg_941	Rrec_peg_511	Rsou_peg_1479	Vdia_peg_108	Vext_peg_104	Vsoy1_peg_887	Vsoy2_peg_103	Vgig1_peg_886	Vgig2_peg_773	COSY_0847	Vmar_0857
308	SP60_03040	MS2017_0253	Rmag_0949	HUE58_RS04760	Rpac_peg_720	Rpha_peg_1363	Rpli_peg_946	Rrec_peg_512	Rsou_peg_1484	Vdia_peg_107	Vext_peg_103	Vsoy1_peg_888	Vsoy2_peg_104	Vgig1_peg_885	Vgig2_peg_772	COSY_0848	Vmar_0858
309	SP60_03045	MS2017_0252	Rmag_0950	HUE58_RS04765	Rpac_peg_721	Rpha_peg_1362	Rpli_peg_947	Rrec_peg_513	Rsou_peg_1485	Vdia_peg_106	Vext_peg_102	Vsoy1_peg_889	Vsoy2_peg_105	Vgig1_peg_884	Vgig2_peg_771	COSY_0849	Vmar_0859
310	SP60_03050	MS2017_0250	Rmag_0951	HUE58_RS04770	Rpac_peg_723	Rpha_peg_1360	Rpli_peg_949	Rrec_peg_514	Rsou_peg_1487	Vdia_peg_104	Vext_peg_100	Vsoy1_peg_891	Vsoy2_peg_107	Vgig1_peg_882	Vgig2_peg_769	COSY_0851	Vmar_0861
311	SP60_03060	MS2017_0244	Rmag_0953	HUE58_RS04780	Rpac_peg_725	Rpha_peg_1357	Rpli_peg_953	Rrec_peg_517	Rsou_peg_1490	Vdia_peg_102	Vext_peg_98	Vsoy1_peg_893	Vsoy2_peg_109	Vgig1_peg_880	Vgig2_peg_767	COSY_0853	Vmar_0863
312	SP60_03065	MS2017_0242	Rmag_0954	HUE58_RS04785	Rpac_peg_726	Rpha_peg_1356	Rpli_peg_954	Rrec_peg_518	Rsou_peg_1491	Vdia_peg_101	Vext_peg_97	Vsoy1_peg_894	Vsoy2_peg_110	Vgig1_peg_879	Vgig2_peg_766	COSY_0854	Vmar_0864
313	SP60_03070	MS2017_0241	Rmag_0955	HUE58_RS04790	Rpac_peg_727	Rpha_peg_1355	Rpli_peg_955	Rrec_peg_519	Rsou_peg_1492	Vdia_peg_100	Vext_peg_96	Vsoy1_peg_895	Vsoy2_peg_111	Vgig1_peg_878	Vgig2_peg_765	COSY_0855	Vmar_0865
314	SP60_03075	MS2017_0240	Rmag_0956	HUE58_RS04795	Rpac_peg_728	Rpha_peg_1354	Rpli_peg_956	Rrec_peg_520	Rsou_peg_1493	Vdia_peg_99	Vext_peg_95	Vsoy1_peg_896	Vsoy2_peg_112	Vgig1_peg_877	Vgig2_peg_764	COSY_0856	Vmar_0866
315	SP60_03080	MS2017_0239	Rmag_0957	HUE58_RS04800	Rpac_peg_729	Rpha_peg_1353	Rpli_peg_957	Rrec_peg_521	Rsou_peg_1494	Vdia_peg_98	Vext_peg_94	Vsoy1_peg_897	Vsoy2_peg_113	Vgig1_peg_876	Vgig2_peg_763	COSY_0857	Vmar_0867
316	SP60_03085	MS2017_0238	Rmag_0958	HUE58_RS04805	Rpac_peg_730	Rpha_peg_1352	Rpli_peg_958	Rrec_peg_522	Rsou_peg_1495	Vdia_peg_97	Vext_peg_93	Vsoy1_peg_898	Vsoy2_peg_114	Vgig1_peg_875	Vgig2_peg_762	COSY_0858	Vmar_0868
319	SP60_03100	MS2017_0235	Rmag_0962	HUE58_RS04825	Rpac_peg_735	Rpha_peg_1347	Rpli_peg_965	Rrec_peg_528	Rsou_peg_1500	Vdia_peg_92	Vext_peg_88	Vsoy1_peg_903	Vsoy2_peg_119	Vgig1_peg_870	Vgig2_peg_757	COSY_0863	Vmar_0873
320	SP60_03105	MS2017_0234	Rmag_0963	HUE58_RS04830	Rpac_peg_736	Rpha_peg_1346	Rpli_peg_966	Rrec_peg_529	Rsou_peg_1501	Vdia_peg_91	Vext_peg_87	Vsoy1_peg_904	Vsoy2_peg_120	Vgig1_peg_869	Vgig2_peg_756	COSY_0864	Vmar_0874
321	SP60_03110	MS2017_0227	Rmag_0964	HUE58_RS04835	Rpac_peg_737	Rpha_peg_1345	Rpli_peg_967	Rrec_peg_530	Rsou_peg_1502	Vdia_peg_90	Vext_peg_86	Vsoy1_peg_905	Vsoy2_peg_121	Vgig1_peg_868	Vgig2_peg_755	COSY_0865	Vmar_0875
322	SP60_03115	MS2017_0226	Rmag_0965	HUE58_RS04840	Rpac_peg_738	Rpha_peg_1344	Rpli_peg_968	Rrec_peg_531	Rsou_peg_1503	Vdia_peg_89	Vext_peg_85	Vsoy1_peg_906	Vsoy2_peg_122	Vgig1_peg_867	Vgig2_peg_754	COSY_0866	Vmar_0876
323	SP60_03120	MS2017_0224	Rmag_0966	HUE58_RS04845	Rpac_peg_739	Rpha_peg_1343	Rpli_peg_969	Rrec_peg_532	Rsou_peg_1504	Vdia_peg_88	Vext_peg_84	Vsoy1_peg_907	Vsoy2_peg_123	Vgig1_peg_866	Vgig2_peg_753	COSY_0867	Vmar_0877
324	SP60_03125	MS2017_0223	Rmag_0967	HUE58_RS04850	Rpac_peg_740	Rpha_peg_1342	Rpli_peg_970	Rrec_peg_533	Rsou_peg_1505	Vdia_peg_87	Vext_peg_83	Vsoy1_peg_908	Vsoy2_peg_124	Vgig1_peg_865	Vgig2_peg_752	COSY_0868	Vmar_0878
327	SP60_03140	MS2017_0220	Rmag_0969	HUE58_RS04855	Rpac_peg_745	Rpha_peg_1337	Rpli_peg_975	Rrec_peg_534	Rsou_peg_1508	Vdia_peg_86	Vext_peg_82	Vsoy1_peg_909	Vsoy2_peg_125	Vgig1_peg_890	Vgig2_peg_777	COSY_0869	Vmar_0879
329	SP60_03180	MS2017_0209	Rmag_0971	HUE58_RS04875	Rpac_peg_748	Rpha_peg_1334	Rpli_peg_978	Rrec_peg_537	Rsou_peg_1511	Vdia_peg_84	Vext_peg_80	Vsoy1_peg_911	Vsoy2_peg_127	Vgig1_peg_892	Vgig2_peg_779	COSY_0871	Vmar_0881
330	SP60_03190	MS2017_0207	Rmag_0973	HUE58_RS04910	Rpac_peg_753	Rpha_peg_1326	Rpli_peg_982	Rrec_peg_544	Rsou_peg_601	Vdia_peg_82	Vext_peg_78	Vsoy1_peg_913	Vsoy2_peg_129	Vgig1_peg_894	Vgig2_peg_781	COSY_0873	Vmar_0883
331	SP60_03200	MS2017_0206	Rmag_0975	HUE58_RS04920	Rpac_peg_755	Rpha_peg_1324	Rpli_peg_984	Rrec_peg_546	Rsou_peg_599	Vdia_peg_80	Vext_peg_76	Vsoy1_peg_915	Vsoy2_peg_131	Vgig1_peg_896	Vgig2_peg_783	COSY_0875	Vmar_0885
332	SP60_03210	MS2017_0204	Rmag_0977	HUE58_RS04930	Rpac_peg_757	Rpha_peg_1322	Rpli_peg_986	Rrec_peg_548	Rsou_peg_597	Vdia_peg_78	Vext_peg_74	Vsoy1_peg_917	Vsoy2_peg_133	Vgig1_peg_898	Vgig2_peg_785	COSY_0877	Vmar_0887
333	SP60_03220	MS2017_0193	Rmag_0980	HUE58_RS04995	Rpac_peg_761	Rpha_peg_1306	Rpli_peg_997	Rrec_peg_565	Rsou_peg_1751	Vdia_peg_77	Vext_peg_73	Vsoy1_peg_918	Vsoy2_peg_134	Vgig1_peg_899	Vgig2_peg_786	COSY_0878	Vmar_0888
334	SP60_03225	MS2017_0192	Rmag_0981	HUE58_RS05000	Rpac_peg_762	Rpha_peg_1305	Rpli_peg_998	Rrec_peg_566	Rsou_peg_1750	Vdia_peg_76	Vext_peg_72	Vsoy1_peg_919	Vsoy2_peg_135	Vgig1_peg_900	Vgig2_peg_787	COSY_0879	Vmar_0889
337	SP60_03240	MS2017_0189	Rmag_0984	HUE58_RS05015	Rpac_peg_766	Rpha_peg_1639	Rpli_peg_1002	Rrec_peg_569	Rsou_peg_1746	Vdia_peg_74	Vext_peg_70	Vsoy1_peg_922	Vsoy2_peg_138	Vgig1_peg_902	Vgig2_peg_789	COSY_0881	Vmar_0891
338	SP60_03245	MS2017_0188	Rmag_0987	HUE58_RS05030	Rpac_peg_769	Rpha_peg_1636	Rpli_peg_1005	Rrec_peg_572	Rsou_peg_1743	Vdia_peg_73	Vext_peg_69	Vsoy1_peg_923	Vsoy2_peg_139	Vgig1_peg_903	Vgig2_peg_790	COSY_0882	Vmar_0892
341	SP60_03265	MS2017_0183	Rmag_0991	HUE58_RS05050	Rpac_peg_773	Rpha_peg_1632	Rpli_peg_1009	Rrec_peg_576	Rsou_peg_1739	Vdia_peg_69	Vext_peg_65	Vsoy1_peg_927	Vsoy2_peg_143	Vgig1_peg_907	Vgig2_peg_794	COSY_0886	Vmar_0896
342	SP60_03270	MS2017_0182	Rmag_0992	HUE58_RS05055	Rpac_peg_774	Rpha_peg_1631	Rpli_peg_1010	Rrec_peg_577	Rsou_peg_1738	Vdia_peg_68	Vext_peg_64	Vsoy1_peg_928	Vsoy2_peg_144	Vgig1_peg_908	Vgig2_peg_795	COSY_0887	Vmar_0897
343	SP60_03275	MS2017_0179	Rmag_0993	HUE58_RS05060	Rpac_peg_775	Rpha_peg_1630	Rpli_peg_1011	Rrec_peg_578	Rsou_peg_1737	Vdia_peg_67	Vext_peg_63	Vsoy1_peg_929	Vsoy2_peg_145	Vgig1_peg_909	Vgig2_peg_796	COSY_0888	Vmar_0898
344	SP60_03280	MS2017_0178	Rmag_0994	HUE58_RS05065	Rpac_peg_776	Rpha_peg_1629	Rpli_peg_1012	Rrec_peg_579	Rsou_peg_1736	Vdia_peg_66	Vext_peg_62	Vsoy1_peg_930	Vsoy2_peg_146	Vgig1_peg_910	Vgig2_peg_797	COSY_0889	Vmar_0899
346	SP60_03405	MS2017_0174	Rmag_0996	HUE58_RS05100	Rpac_peg_778	Rpha_peg_827	Rpli_peg_1019	Rrec_peg_586	Rsou_peg_446	Vdia_peg_64	Vext_peg_60	Vsoy1_peg_932	Vsoy2_peg_148	Vgig1_peg_912	Vgig2_peg_799	COSY_0892	Vmar_0901
348	SP60_03415	MS2017_0167	Rmag_0998	HUE58_RS05115	Rpac_peg_780	Rpha_peg_829	Rpli_peg_1021	Rrec_peg_589	Rsou_peg_443	Vdia_peg_60	Vext_peg_57	Vsoy1_peg_934	Vsoy2_peg_150	Vgig1_peg_914	Vgig2_peg_801	COSY_0894	Vmar_0903
349	SP60_03420	MS2017_0166	Rmag_0999	HUE58_RS05120	Rpac_peg_781	Rpha_peg_830	Rpli_peg_1022	Rrec_peg_590	Rsou_peg_442	Vdia_peg_59	Vext_peg_56	Vsoy1_peg_935	Vsoy2_peg_151	Vgig1_peg_915	Vgig2_peg_802	COSY_0895	Vmar_0904
350	SP60_03425	MS2017_0165	Rmag_1000	HUE58_RS05125	Rpac_peg_782	Rpha_peg_831	Rpli_peg_1023	Rrec_peg_591	Rsou_peg_441	Vdia_peg_58	Vext_peg_55	Vsoy1_peg_936	Vsoy2_peg_152	Vgig1_peg_916	Vgig2_peg_803	COSY_0896	Vmar_0905
351	SP60_03430	MS2017_0164	Rmag_1001	HUE58_RS05130	Rpac_peg_783	Rpha_peg_832	Rpli_peg_1024	Rrec_peg_592	Rsou_peg_440	Vdia_peg_57	Vext_peg_54	Vsoy1_peg_937	Vsoy2_peg_153	Vgig1_peg_917	Vgig2_peg_804	COSY_0897	Vmar_0906
352	SP60_03440	MS2017_0162	Rmag_1003	HUE58_RS05140	Rpac_peg_785	Rpha_peg_834	Rpli_peg_1026	Rrec_peg_594	Rsou_peg_438	Vdia_peg_55	Vext_peg_52	Vsoy1_peg_939	Vsoy2_peg_155	Vgig1_peg_919	Vgig2_peg_806	COSY_0899	Vmar_0908
353	SP60_03445	MS2017_0161	Rmag_1004	HUE58_RS05145	Rpac_peg_786	Rpha_peg_835	Rpli_peg_1027	Rrec_peg_595	Rsou_peg_437	Vdia_peg_54	Vext_peg_51	Vsoy1_peg_940	Vsoy2_peg_156	Vgig1_peg_920	Vgig2_peg_807	COSY_0900	Vmar_0909
354	SP60_03450	MS2017_0160	Rmag_1005	HUE58_RS05150	Rpac_peg_787	Rpha_peg_836	Rpli_peg_1028	Rrec_peg_596	Rsou_peg_436	Vdia_peg_53	Vext_peg_50	Vsoy1_peg_941	Vsoy2_peg_157	Vgig1_peg_921	Vgig2_peg_808	COSY_0901	Vmar_0910
355	SP60_03455	MS2017_0159	Rmag_1006	HUE58_RS05155	Rpac_peg_788	Rpha_peg_837	Rpli_peg_1029	Rrec_peg_597	Rsou_peg_435	Vdia_peg_52	Vext_peg_49	Vsoy1_peg_942	Vsoy2_peg_158	Vgig1_peg_922	Vgig2_peg_809	COSY_0902	Vmar_0911
356	SP60_03460	MS2017_0158	Rmag_1007	HUE58_RS05160	Rpac_peg_789	Rpha_peg_838	Rpli_peg_1030	Rrec_peg_598	Rsou_peg_434	Vdia_peg_51	Vext_peg_48	Vsoy1_peg_943	Vsoy2_peg_159	Vgig1_peg_923	Vgig2_peg_810	COSY_0903	Vmar_0912
357	SP60_03465	MS2017_0157	Rmag_1008	HUE58_RS05165	Rpac_peg_790	Rpha_peg_839	Rpli_peg_1031	Rrec_peg_599	Rsou_peg_433	Vdia_peg_50	Vext_peg_47	Vsoy1_peg_944	Vsoy2_peg_160	Vgig1_peg_924	Vgig2_peg_811	COSY_0904	Vmar_0913
358	SP60_03470	MS2017_0156	Rmag_1009	HUE58_RS05170	Rpac_peg_791	Rpha_peg_840	Rpli_peg_1032	Rrec_peg_600	Rsou_peg_432	Vdia_peg_49	Vext_peg_46	Vsoy1_peg_945	Vsoy2_peg_161	Vgig1_peg_925	Vgig2_peg_812	COSY_0905	Vmar_0914
